business_id,business_name,categories,stars,active,review_count
-8wyZkzfBmCFkMwCGcR4PQ,Pugzie's,Sandwiches Restaurants,3.5,False,33
-8Z6AiHwXInpnl6Q1Ey_5w,Palo Verde Bike Shop,Sporting Goods Bikes Shopping,2.0,True,4
-92fePI5W6MwOaxMxphFjA,My Big Fat Greek Express,Food,3.5,True,6
-98noPZy1sH6NndWmdtuDw,Port of Subs,Sandwiches Restaurants,2.5,True,5
-9meXYVIw8yFg_yMG5RvCw,Super 8 Motel,Hotels & Travel Event Planning & Services Hotels,3.5,True,3
-9pVS__IliMA2aNEYzrQrg,American Junkie,Nightlife Bars American (Traditional) Sports Bars Restaurants,3.0,True,107
-A5CFmkgdMEggaihtyxX4Q,nextDOOR,Bars Nightlife Dance Clubs,3.5,False,12
-A82xEVAjOYZtDdRQw1FQw,Best Home Appliances,Shopping Home & Garden Appliances,5.0,True,5
-AAig9FG0s8gYE4f8GfowQ,Pane Bianco,Pizza Italian Sandwiches Restaurants,4.5,True,278
-aBTFWuluGAJId7C4KNqeQ,Paradise Valley Park Golf Course,Active Life Golf Parks,3.0,True,7
-AcBphGFzYILy1XhnAwQTw,Affordable Party & Event Rentals,Party Supplies Event Planning & Services Party & Event Planning,5.0,True,3
-aDuOZelvBHWKh-NrXooow,Port of Subs,Sandwiches Restaurants,4.0,True,13
-AEvCwVegPstHNAkhds-UA,Hottie World,Women's Clothing Fashion Shopping Accessories,4.0,True,3
-B55j4VAqKcxCQz2T1obJA,Gilbert Pediatrics,Doctors Health & Medical Pediatricians,2.5,True,5
-Bb1Xwd677TBSIPjw4x7oA,Walmart,Department Stores Grocery Fashion Shopping Food Mobile Phones,2.5,True,19
-bd26a1QEEpqUZjBmtBUiQ,Lalibela Ethiopian Cafe,Ethiopian Restaurants,4.0,True,179
-BQHw828VNrNZ7LtFnFJCA,Fletcher's Tire & Auto Service,Tires Automotive Auto Repair,5.0,True,3
-Bt99QgCCzmoZbchuDG_ew,Valley Movie Group,Arts & Entertainment Cinema Social Clubs,5.0,True,4
-b_VjHZmA7-8LVWp6z36VA,Mim's Burger & Mexican Food,Burgers Mexican Restaurants,3.5,True,21
-cKWUXE-16M1R15UOt6sqQ,Banana Republic,Women's Clothing Men's Clothing Fashion Shopping Accessories,3.5,True,13
-cy8EpdXs44iT3FR4En0QA,Firehouse Subs,Delis Fast Food Sandwiches Restaurants,4.0,True,19
-CYr479M7Y49UqIPwFcjEg,Starbucks Corporation,Food Coffee & Tea,5.0,True,4
-CZ78c-H3tTxpP-uQ09CWw,American Dream Plumbing Heating & Air Conditioning,Plumbing Home Services Contractors,4.5,False,3
-d1I0dwtCg1IIjnI3DZ38Q,Susie's Mexican Cafe & Lunch,Mexican Restaurants,3.5,True,6
-dAVih5pWe7DEohm3tF69A,Summit Cleaners,Local Services Dry Cleaning & Laundry,3.5,True,3
-DGbZCnfEiHUy-ksKeJ72Q,Starters Sports Bar and Grill,Bars Restaurants American (Traditional) Sports Bars Nightlife,3.5,True,10
-dRR_A0y3EfW83CrKxXTQQ,Angel Air Cooling & Heating,Home Services Heating & Air Conditioning/HVAC,5.0,True,4
-dz2h55a0SdnBJEXQm9CAQ,Prestige Animal Clinic,Veterinarians Pets,3.5,True,7
-E6XYf1ce1NCtV3QQI-3xA,Longhorn Steakhouse Mesa,Seafood Steakhouses Restaurants,4.0,True,5
-EctXOb3B7T177jGYUhjVA,Boulders On Broadway,Pubs Bars American (Traditional) Nightlife Restaurants,4.0,True,139
-eE4PAWu5FBRnAvbIMzWqg,Quilted Bear,Restaurants,2.0,False,4
-eim7j3MfRWxhatv-udhYw,The Urban Farm Nursery,Gardeners Shopping Nurseries & Gardening Home Services Home & Garden,5.0,True,4
-EOZn5fbMKUo_3QEDFfedQ,Chandler-Gilbert Community College,Colleges & Universities Active Life Education Trainers Fitness & Instruction,2.5,True,6
-ev01HlCKf7CYsh8ZXG_7w,Three Dog Bakery,Bakeries Food Pet Services Pets,3.5,False,8
-Ez-Awbe41Tq8rNItBdA-A,Arizona Orthopaedic & Sports Medicine Specialists,Sports Medicine Doctors Orthopedists Health & Medical,2.5,True,3
-F9-dpfu6eVuS7HGs1ptsQ,Neiman Marcus Last Call,Department Stores Fashion Shopping,3.0,True,11
-fgp41smAIXPBzmWzpY1aQ,Stein Mart,Department Stores Fashion Shopping,4.0,True,5
-fIGHIUdHX-T_ZGh2IQz4Q,Gucci,,2.5,True,4
-fpBB1Oa7fVi7liNUd8qow,AMF McRay Plaza Lanes,Active Life Amusement Parks Nightlife Bowling,4.5,True,4
-fsCfTYEnJ4s6yStgBnQig,Farrelli's Cinema Supper Club,Arts & Entertainment American (New) Caterers Event Planning & Services Cinema Restaurants,4.0,False,46
-ftQeUsqwDkExRg6IYrubQ,Chicago Gyros,Greek Mediterranean Restaurants,4.5,True,105
-Fv9yPpyBd2Ophih6b2mTw,Celebrity Tanning,Tanning Beauty & Spas,4.0,True,7
-g5leVOzKA33Ruabe2Zo9w,B&G Caf?,Food Desserts Barbeque Restaurants,2.5,True,12
-gefwOTDqW9HWGDvWBPSMQ,Seamus McCaffrey's,Nightlife Irish Arts & Entertainment Music Venues Restaurants,3.5,True,127
-GPiLRLH0MWH6Pjs0WDglg,Black Angus Steakhouse,American (Traditional) Steakhouses Seafood Restaurants,2.5,True,11
-Gse8l_ec33gkWgotCLsew,The Magic Wok,Chinese Restaurants,4.0,False,7
-GYx5GAx_-4XEsn7mFwdkA,Red Robin America's Gourmet Burgers & Spirits,Burgers Restaurants,2.5,True,11
-h-q6zTIdPlkz9BDP11sBg,Seasons 52,American (Traditional) Restaurants,4.0,True,145
-H0JvSyF8r8vGDEBjRNArg,European Wax Center Goodyear,Hair Removal Beauty & Spas,3.5,True,3
-h1WpfgqAmJcJDqyXXJ2og,Fuddruckers,Burgers Restaurants,4.5,True,13
-h9LochyBgKpsLwNXfTiOw,Phoenix BBQ & Deli,Barbeque Restaurants,3.0,False,9
-HADyd0_rgt7PzZ-HWHTiQ,Banfield Pet Hospital,Veterinarians Pets,3.0,True,6
-hQ8iZygzi0iiTFUkHgiEA,Back East Bagels,Food Bagels,3.5,True,45
-HSVYFf0h868QQnLMHZWNw,Hampton Inn,Swimming Pools Venues & Event Spaces Event Planning & Services Active Life Hotels & Travel Hotels,3.5,True,3
-HvPJuXZ4rnHCZZxQGus_g,Brothers Plumbing LLC,Plumbing Home Services,2.5,True,6
-hWSt4JO2zT7zd7QzLZY9Q,Over Coffee,Food Coffee & Tea,4.5,False,6
-hzkQ8YIkExQse3vX0HOcg,Lil' Mama's Soul Food Cafe,Soul Food Cajun/Creole Southern Restaurants,3.0,False,7
-I3Cu9rLQXtL5us5wdy8tA,Open Range Deli and BBQ,Delis American (Traditional) Barbeque Restaurants,2.5,False,3
-IEBe1UpCz8-dTAp8_fClw,Garduno's Margarita Factory & Blue Agave,Mexican Restaurants,2.5,True,20
-ijqzP5H4UCk2CEa6RRKQA,Sports Authority,Sporting Goods Shopping,4.5,True,3
-iJZ-PEnOw2oVUBFfg5wJw,Doggie Door,Pet Groomers Pet Services Pets,3.5,True,3
-IptYYZVDxgJgDB_eHJo1A,Signature Nail and Spa,Day Spas Beauty & Spas,2.5,True,4
-iyXLstr5tP_oPdxDQjKHg,Brown Eyed Girlz Boutique,Women's Clothing Fashion Shopping Accessories,1.0,True,3
-J0jhpG0rv4saq9OMh8gXw,Seattle Espresso,Food Coffee & Tea,4.5,True,6
-J4WRDa3ejlIHl0LTTsWng,Promontory Pointe Apartments,Home Services Real Estate Apartments,2.0,True,4
-JaNk2DOQdpjTl5Bu-iehg,PetSmart,Pet Services Pet Stores Pets,4.5,True,3
-jBymA8tI-WURtSBcuUdXQ,Schlotzskys,Fast Food Sandwiches Restaurants,4.0,True,8
-JL0CWSLkkzFHZXlctnf8A,Sweet Tomatoes,Buffets Salad Restaurants,3.5,False,51
-JpZiiGPKOuCEiODGNyovw,Wendy's Old Fashioned Hamburgers,American (Traditional) Restaurants,3.5,True,5
-JxBD4rhbIXW3R5CFNox0w,Arcadia Window & Door,,3.5,True,5
-JYWpdJfMkqCTA_7fyz6Cw,Alameda Dental Care,Health & Medical Dentists General Dentistry,4.0,True,4
-K0cHLEnUl5PzTU9XiGoNQ,Aloha Nails & Spa,Day Spas Beauty & Spas Nail Salons,4.5,True,3
-KcEUiwXi4uHoa6VV6KMuA,Ideal Image,Beauty & Spas Hair Removal Laser Hair Removal,2.0,True,4
-KEU36ohRQb19mrbA65Y3Q,The Good Egg,Breakfast & Brunch Restaurants,3.5,False,25
-KF9RQPkmIOHfE0tzUu9bg,Dunkin Donuts,Food Donuts,3.5,True,25
-kVXDEqGHOWKxQ3EhvFgVA,Kokopelli Mexican Grill,Mexican Restaurants,3.5,False,12
-KzyOiFK4SM9I1vmuTSsuA,Fresh & Easy Neighborhood Market,Food Grocery,4.5,True,6
-L39pGMPP1kM3DI0Z0oZSw,Starbucks,Food Coffee & Tea,2.5,True,8
-lDo_9oU_xna4_idQP1r4A,Hotel Indigo Scottsdale Boutique Hotel,Hotels & Travel Event Planning & Services Venues & Event Spaces Hotels,3.5,True,77
-lOSaCuBRAvX5JBifx-EMw,Mi Amigo's Mexican Grill,Mexican Restaurants,3.0,True,53
-luJmoJUWtS4iQh7Bbbblw,HoneyBaked Ham,Delis Restaurants,3.5,True,7
-LunygEblxqpInmp6N801A,Carpet World,Carpet Installation Home Services Carpeting,3.5,True,3
-M1rR1Ip7NOlMn5EbUkuog,McDonald's Restaurants,Restaurants,2.0,True,4
-Mf4I8Jr_Vly37Z3Mgf0zQ,JJ's Sports Cantina,American (Traditional) Restaurants,3.5,False,10
-mLcpJYfX8tw8LR9bq018w,Great Wall Restaurant,Buffets Chinese Restaurants,3.0,True,14
-mz0Zr0Dw6ZASg7_ah1R8A,Sing High Chop Suey House,Chinese Restaurants,3.0,True,45
-N-p0OsSDyrBSatf0jXdVw,Knockout Fitness,Active Life Martial Arts Gyms Trainers Fitness & Instruction,5.0,True,4
-N6XWiSuFKv-AXT7C3n6Yw,Hampton Inn Phoenix-Biltmore,Hotels & Travel Event Planning & Services Hotels,4.0,True,20
-NbEHP2GHFNb5PnmJnd4qQ,The Buckle,Women's Clothing Men's Clothing Fashion Shopping Accessories,4.0,True,3
-nC13Bk7eJJN1likqJRY1w,The Body Lab,Active Life Pilates Fitness & Instruction,4.5,True,11
-NGrzJp0dX5pK3qdGSaspw,Cool Cuts 4 Kids,Hair Salons Beauty & Spas,4.5,True,9
-nHYKkSJuQ7zzFZ1veRfPg,Little Peking,Chinese Restaurants,4.0,True,16
-njvGjJacPJMJ9YWSr6G3Q,Rollero Family Roller Skating Center,Active Life Skating Rinks,2.5,True,3
-nmr-3l0EmQaZAGEoXgk4w,Pacific's Cafe,American (Traditional) Restaurants,3.0,True,4
-nPwp-pg-pTEO2nqo1h_lg,AMC Arrowhead 14,Arts & Entertainment Cinema,2.5,True,11
-NrEcXQ0qioMwkRsgoq8Kw,Brewer Caldwell Property Management,Property Management Home Services Real Estate,2.0,True,4
-nWigG5EhFLjdSgGZthS3Q,Embassy Suites Hotel Phoenix-Airport At 24th Street,Hotels & Travel Event Planning & Services Hotels,3.5,True,24
-N_i2F9BDyIt9e1iihVr1w,La Croix Louisiana Fish Market,Food Specialty Food Seafood Markets,4.5,True,4
-O7H5LhBkE13VQZB0QZI0Q,Fat Tuesday,Bars American (Traditional) Nightlife Restaurants,3.0,True,52
-ofo_NSFpx6u8WBOWr86XQ,Tree Doctors,Tree Services Home Services,4.0,True,5
-Ogv7rpcgUHkFaSy3vD8Sw,Hong Kong Gourmet Buffet,Buffets Chinese Restaurants,4.0,True,61
-OjA9Wvnn-XExG-9Djj2og,Men's Wearhouse   ,Men's Clothing Fashion Shopping,3.5,True,3
-p-9eBYvts8tcalo5IWOKw,Chipotle Mexican Grill,Tex-Mex Restaurants,4.5,True,28
-p9-E-KTtQRJM0nV9rx6pQ,Born To Run,Pet Services Pet Training Pet Boarding/Pet Sitting Pets,4.0,True,7
-PA_1J9JzxLcluTOw2gZjw,Ono Hawaiian BBQ,Hawaiian Barbeque Restaurants,3.0,True,20
-PisznY2s13FyX3tASY4aA,Ace Hardware,Hardware Stores Shopping Home & Garden,3.5,True,12
-PoxCIqlN6tX98AxC0aPTQ,Pro's Ranch Market,Food Grocery,4.0,True,25
-pW4bAhmTvY3UVkroQcUQg,The Joint ...The Chiropractic Place,Health & Medical Chiropractors,5.0,True,4
-QdMyyV-GY3qXcXuLiqVqg,Nancy's Nail Salon,Beauty & Spas Nail Salons,4.5,True,7
-qv60txNVfg5pJ0b0w-QJw,Candy Addict,Food Specialty Food Candy Stores,4.5,True,24
-qVT-HznnQMPdgFuRYbyVw,Super L Ranch Market,Food Ethnic Food Grocery Specialty Food,3.5,True,4
-q_VodbABJygOSuv86LOtw,Chik A Ribs,Soul Food Restaurants,3.5,False,9
-r0wNFCnAkK8DjMnv3L6Zg,Copper Door Bar,Nightlife Restaurants,3.0,True,6
-Rj4yXguyZ06ZMPMmoR9tg,Keegan's Grill & Taproom,American (Traditional) Restaurants,3.5,True,25
-rOS0SknqQRJabyEX6r_TQ,Banfield Pet Hospital,Veterinarians Pets,3.5,True,5
-S7aL8dVIiXjCdbTZVn8uA,Manhattan Pizzeria and Subshop,Pizza Restaurants,3.0,True,11
-sAoGZTnFtDZUY9JYWHqlg,W Scottsdale,Hotels & Travel Event Planning & Services Hotels,3.5,True,122
-sC66z4SO3tR7nFCjfQwuQ,Gallo Blanco Cafe,Mexican Restaurants,4.0,True,549
-SfUBPZcJ6uw2cVlc6dk-Q,Northwest Regional Library,Libraries Public Services & Government,4.5,True,6
-sHaV6At__T1RJQXiR6d0g,First Watch,Breakfast & Brunch Restaurants,3.0,False,29
-SS0C3OoPhVVBFCFfDWB2A,Tacos Jalisco,Restaurants,3.5,False,4
-ssS6vsRYRvJgTRt5BawTw,Renaissance Plumbing LLC,Plumbing Home Services,5.0,True,7
-sTBvM1pOpZts9dnJ6_5Xw,Subway,Fast Food Sandwiches Restaurants,4.0,True,6
-svamR1_OzUeiZkZf4qotw,Tyson Crosbie Photography,Photographers Event Planning & Services,5.0,True,8
-SxeUGqnKy8YiEV5YA42Jw,LA Fitness,Active Life Gyms Trainers Fitness & Instruction,3.5,True,8
-tBiXT917wKlr6n9wSqViw,The Keg Steakhouse & Bar,Steakhouses Restaurants,3.5,True,68
-Tc8XH5AovlSX3_tEmGerg,Mooster's Mootique,Active Life Amusement Parks Shopping Toy Stores,5.0,True,4
-tGrdYQlmuxhvKjQXScA5Q,Healthy and Clean Living Environments,Local Services Carpet Cleaning,5.0,True,3
-tNKk-eCLk_acdp4vEYcpw,Golden Corral Steak & Buffet House,Buffets Restaurants,3.0,True,23
-TNwWa_OGPmZoBFl25zdYA,Oasis Bagels,Breakfast & Brunch Restaurants,5.0,True,4
-u-B9Rm3DHpLThpakVXH3w,World Adult Kickball Association - WAKA,Active Life Sports Clubs,4.0,True,5
-UHDEY88hqUtrTPWfQ5CgQ,Denny's Restaurant,Restaurants,4.0,True,5
-UnYs8XvV1M983xZoREdng,Su Vino Winery,Bars Food Arts & Entertainment Venues & Event Spaces Wine Bars Wineries Event Planning & Services Nightlife,4.0,True,74
-uSHlr8Wk6f8ewVEgsvcWQ,Devil's Diner,Breakfast & Brunch Diners Restaurants,4.0,True,6
-UT6IHfVW_2yzz1bf8WI5g,Tediberto's,Mexican Vegan Restaurants,3.5,False,29
-ux2HqhfQqldjxSt8vdSwQ,Cricket Wireless Pavilion,Arts & Entertainment Nightlife Music Venues,3.5,True,19
-v8FrfMccLpIzong9XpiuQ,McDonald's,Fast Food Restaurants,1.5,True,3
-vaGR2CXNS4NZrMdctSkGA,Los Reyes de la Torta,Mexican Restaurants,4.0,True,13
-vBrVSZBtqbDgPAbGQ4ZYQ,The Junk Guys,Local Services Junk Removal & Hauling,5.0,True,4
-vF04fhPCoSdqgIhAZm0wQ,Marc's Sports Grill & Nightlife,Bars Restaurants American (Traditional) Nightlife Chicken Wings,3.0,True,17
-vHWAsiX0iHWJw-pkqv32Q,Kona Grill,American (New) Sushi Bars Restaurants,3.5,True,90
-Vp12-UIQIh2zeM6SPj9FA,Prickly Pear Fresh Mexican Grill,Mexican Restaurants,4.0,False,9
-wiXVXRj_Vk3H36PMzQYUQ,La Femme Salon,Beauty & Spas Nail Salons,5.0,True,3
-wTzMnejWNzPZZ1ntfkFYw,Valley Goldmine,Shopping Jewelry,4.5,True,4
-wwJIaO7-diyEqxGwZKVuQ,Sub Factory,Sandwiches Restaurants,3.5,True,7
-WXH-j7_Ugm6phJDdY5bzw,Applebee's Neighborhood Grill & Bar,American (Traditional) Restaurants,2.5,True,6
-wymeGehHwL9ALaE_NFCXA,Costco,Shopping,4.0,True,24
-WZIxGXJHMGidZXRhKxP3w,Mimi's Cafe,Breakfast & Brunch American (Traditional) Restaurants,3.0,True,35
-xBv8p9jzOkMyGlY07FMTA,Subway,Fast Food Sandwiches Restaurants,3.0,True,5
-xFO1E3OiDMmdqdjwUM_DA,Losbetos Mexican Food,Mexican Restaurants,3.5,True,37
-XlBQrxN_ZB3MZKxLBeAjA,Marie Callender's,Bakeries Food American (Traditional) Restaurants,3.5,False,4
-XoFkjdXb5ZIXwoZdjJtoQ,Papa John's Pizza,Fast Food Pizza Restaurants,3.5,True,4
-Xt7W-mrOxl5MOd1czahCQ,Quiktrip,Automotive Gas & Service Stations,5.0,True,7
-x_jL2OCWPdObGTOwIpN4w,It's A Grind Coffee House,Food Coffee & Tea,4.5,True,26
-Y2rZMPttQqKXD_XJPQerA,Rubio's Fresh Mexican Grill,Mexican Restaurants,3.5,True,7
-ykt2ZJdTWVkset3C27_LA,Ding Doctor AZ,Automotive Body Shops,5.0,True,6
-yPdEze6bYRV2Sm1t4XJhg,Fuddruckers,Burgers Restaurants,4.0,False,3
-YtGU_1Sc1E57-gJfUcDTw,American Apparel,Women's Clothing Men's Clothing Fashion Shopping Accessories,3.0,True,12
-yxfBYGB6SEqszmxJxd97A,Quiessence Restaurant,Wine Bars Bars American (New) Nightlife Restaurants,3.5,True,109
-yzbXeIf2QuN19kC-M-KFQ,Aimco Colonnade Gardens Apt,Home Services Real Estate Apartments,1.0,True,4
-zcZNlO0JwZHppan8rGkBQ,Chili's Too,American (Traditional) Restaurants,3.0,True,26
-ZN2OT0TcgjzRAQlBvGEBQ,Harkins North Valley 16,Arts & Entertainment Cinema,3.5,True,18
-zRuiAAK1FpbQDcw1fbrUA,Courtyard by Marriott,Hotels & Travel Event Planning & Services Hotels,3.5,True,4
-ZtFs3P1zKFv4RtY7iyssA,Movin' 97.5 - KMVA FM,Mass Media Radio Stations,3.5,True,6
-ZXq0YMt2iOK4VRIqPcSCw,CityScape,Shopping Centers Shopping,3.0,True,47
-_0Dx-cEvnQ0w2mauUpyXA,Downtown Phoenix Dental,Health & Medical Dentists General Dentistry Cosmetic Dentists,4.5,True,30
-_JBgygYYD_UkuD-GVTp6A,Schlotzsky's,Sandwiches Restaurants,3.5,True,5
-_K8AE722c1u9Dsa8jo_vg,Tropica Mango Rare and Exotic Fruit Nursery,Shopping Nurseries & Gardening Home & Garden,4.0,True,6
-_Ke8q969OAwEE_-U0qUjw,Jug 'n Barrel Wine Shop,Food Beer Wine & Spirits Restaurants,4.5,False,6
-_npP9XdyzILAjtFfX8UAQ,Thao's Sandwiches,Vietnamese Sandwiches Restaurants,3.0,True,15
-_R8e87VykfxZxRz8Sosqw,Liberty Nails,Beauty & Spas Nail Salons,4.0,True,10
-_v2x-BHC0awbCykFJEmHg,Cloud Nine Labs,Web Design Graphic Design Public Relations Professional Services,5.0,True,5
-_wk7WTa_ZJWFF_i5v_w,North Central Sports Bar,Bars Sports Bars Nightlife,4.0,True,5
0-A_cxbEmlkkq0362cvi3A,Hot Dog Guy,Food Street Vendors Hot Dogs Restaurants,4.5,True,4
0-JuUsqksiNbEOOkTGMNDw,Starbucks Coffee Company,Food Coffee & Tea,4.5,True,9
0-KOpYSe9aQTAfM38f47HQ,Paradise Valley Family Medicine,Doctors Health & Medical,5.0,True,3
01cEFI5Pq_RyEwM3GSTopQ,Blue 32 Sports Grill,Bars Sports Bars Nightlife,3.5,True,67
01cQQpeEwWpzTgv6YUQhAQ,Mario's Hair Company,Hair Salons Beauty & Spas,4.5,True,4
01euuGhBwvcDhl9KcPTang,El Salsita,Breakfast & Brunch Fast Food Mexican Restaurants,2.0,True,4
022T8YSRmb3b1BfwzO3F7Q,Brunswick Via Linda Lanes,Active Life Bowling,4.0,True,19
03m0CGFwEInR8ZBGrqmO7w,Turn Style Consignment,Used Vintage & Consignment Fashion Shopping,3.0,True,5
04HakCR6gEeRYNAoKxkppQ,Hacienda Restaurant,Mexican Restaurants,2.5,True,3
04Jrd2zSzwHwmBqdKQDmIw,Yogis Grill,Japanese Restaurants,3.5,True,11
04ooBGyXogN57dhLgJaQ1Q,Priceless Clothing Company,Fashion Shopping Accessories Party & Event Planning Event Planning & Services Women's Clothing,3.0,True,3
04SKYBXRAqeYIuuVDzwKNg,Moe's Southwest Grill,Tex-Mex Restaurants,3.0,False,10
05aRozN6msYyyJIh8UEahQ,Pure Fitness,Active Life Gyms Fitness & Instruction,2.5,True,3
05znNZZrJXlp64r-R3S7Ug,Jordre Studio,Arts & Entertainment Art Galleries Shopping,4.5,True,3
06A3s7Ji-kJQbVxC6QbdNg,Trickshot Billiards And Hookah,Pool Halls Nightlife,4.0,True,3
06kfoeRs9Acj82Yl3i9p_w,Wildflower Bread Company,Bakeries Food Sandwiches Restaurants,4.5,True,45
06Rbm5JrkxQHz7yNTaPwaQ,Premier Care for Women,Doctors Health & Medical Obstetricians & Gynecologists,4.0,True,4
07a5t3hYhtPHlBviiETUpA,Wells Fargo Bank,Banks & Credit Unions Financial Services,5.0,True,3
07cTodzpVqswCRGCHG7aHg,Quality Inn & Suites At Talavi,Hotels & Travel Event Planning & Services Hotels,2.5,True,4
07OyvsOpqTWuyTtvE4_gcA,Palee's Crown,Thai Restaurants,4.0,False,60
07UqHgBkJ4Kach2sVT2FdQ,Cummings Termite & Pest Control,Local Services Pest Control,3.0,True,5
08eBj_o6oTncJR0ylM8qSg,Rice Garden,Chinese Restaurants,4.0,True,5
08In-bFs8JOmSTDlQ0BfFw,Chuck E Cheese's Pizza,Pizza Restaurants,3.5,True,3
08NQu7YaKY3m500DS7e5Tw,Bourbon Street Grill,Cajun/Creole Restaurants,2.5,True,3
08OcGan0xiT6I_oJ2loLMA,Oakville Grocery,Food Grocery,3.5,True,18
08u8R53F7kT6avQbIrLhvQ,Paseo Vista Recreational Area,Active Life Parks,4.5,True,13
08Z_Zzp8PyEmWWpYurIO-Q,Pei Wei Asian Diner Shops At Gainey Ranch,Asian Fusion Chinese Restaurants,3.0,True,12
09dr3kXV8Ff42Ur3mCh3LA,Peter Piper Pizza,Pizza Restaurants,3.5,True,8
09Kv1q51BlUyLznzNnL5Xw,Circle K Stores,Food Grocery,3.5,True,3
09nlgfIqh29b_zVXPdmySg,T.G.I. Friday's,American (Traditional) Restaurants,3.5,False,8
09QAAACarx9CzLsbRjOuUg,Verizon Wireless,Shopping Home Services Internet Service Providers Mobile Phones Professional Services Electronics,3.5,True,3
09YNMPANM20sCJkVvMC1vg,Club Tanning,Tanning Massage Beauty & Spas,4.5,True,4
0a8hLC1V7jgOjRigoBohAg,Golfland Sunsplash,Active Life Mini Golf Amusement Parks Event Planning & Services Party & Event Planning,3.5,True,39
0AkoILvIy27Ss3UYxUGiHg,Sabaidee Thai Cuisine,Thai Laotian Restaurants,4.5,True,3
0Apb1P7RzbQEkeJDuywlPQ,George & Dragon II English Restaurant Pub,Pubs Bars American (Traditional) Nightlife Restaurants,2.5,False,10
0AZiq_OMKs3I9lTmwd5PSg,Tommy V's Osteria and Pizzeria,Restaurants Italian,3.5,True,39
0b-zTb8lUrUAOTyGLuZ2KA,Deluxe Dry Cleaners,Local Services Dry Cleaning & Laundry,3.5,True,4
0Bilf-3-J8hIekQVWyRGWg,Mike's Greek & Italian Cuisine,Greek Restaurants Mediterranean Italian,3.0,True,7
0BpMvu5B9fY-KEbOuxLtFQ,Kampai,Japanese Restaurants,3.5,True,54
0bQEsXnD6y38Fissudcq3g,Marshalls,Department Stores Fashion Shopping,3.5,True,4
